v8-version,6,2,414,78,0
code-creation,Builtin,5,4690,0x20a55c256680,15,"ArrayPop"
code-creation,Builtin,5,4690,0x20a55c256700,2400,"FastArrayPush"
code-creation,Builtin,5,4691,0x20a55c2570c0,15,"ArrayPush"
code-creation,Builtin,5,4692,0x20a55c257140,1056,"FastArrayShift"
code-creation,Builtin,5,4693,0x20a55c2575c0,15,"ArrayShift"
code-creation,Builtin,5,4694,0x20a55c257640,15,"ArrayUnshift"
code-creation,Builtin,5,4694,0x20a55c2576c0,15,"ArraySlice"
code-creation,Builtin,5,4695,0x20a55c257740,15,"ArraySplice"
code-creation,Builtin,5,4696,0x20a55c2577c0,1264,"ArrayIncludes"
code-creation,Builtin,5,4696,0x20a55c257d20,1052,"ArrayIndexOf"
code-creation,Builtin,5,4697,0x20a55c2581a0,386,"ArrayPrototypeKeys"
code-creation,Builtin,5,4698,0x20a55c2583a0,526,"ArrayPrototypeEntries"
code-creation,Builtin,5,4699,0x20a55c258620,526,"ArrayPrototypeValues"
code-creation,Builtin,5,4700,0x20a55c2588a0,1509,"ArrayForEach"
code-creation,Builtin,5,4700,0x20a55c258f00,538,"ToLength"
code-creation,Builtin,5,4701,0x20a55c259180,249,"NonNumberToNumber"
code-creation,Builtin,5,4702,0x20a55c2592e0,190,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,4702,0x20a55c259400,2864,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,4703,0x20a55c259fa0,1936,"ProxyHasProperty"
code-creation,Builtin,5,4704,0x20a55c25a7a0,2016,"HasProperty"
code-creation,Builtin,5,4705,0x20a55c25afe0,5774,"ArrayFilter"
code-creation,Builtin,5,4706,0x20a55c25c6e0,4768,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,4707,0x20a55c25d9e0,2764,"ArrayMap"
code-creation,Builtin,5,4707,0x20a55c25e520,2912,"ArrayMapLoopContinuation"
code-creation,Builtin,5,4708,0x20a55c25f0e0,1761,"ArrayEvery"
code-creation,Builtin,5,4709,0x20a55c25f840,2960,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,4709,0x20a55c260440,1737,"ArraySome"
code-creation,Builtin,5,4710,0x20a55c260b80,2944,"ArraySomeLoopContinuation"
code-creation,Builtin,5,4711,0x20a55c261760,1643,"ArrayReduce"
code-creation,Builtin,5,4712,0x20a55c261e40,2952,"ArrayReduceLoopContinuation"
code-creation,Builtin,5,4712,0x20a55c262a40,1788,"ArrayReduceRight"
code-creation,Builtin,5,4713,0x20a55c2631a0,2904,"ArrayReduceRightLoopContinuation"
code-creation,Builtin,5,4714,0x20a55c263d60,3016,"ArrayIteratorPrototypeNext"
code-creation,Builtin,5,4715,0x20a55c2649a0,47,"NumberConstructor"
code-creation,Builtin,5,4716,0x20a55c264a40,241,"ToNumber"
code-creation,Builtin,5,4716,0x20a55c264ba0,194,"NumberConstructor_ConstructStub"
code-creation,Builtin,5,4717,0x20a55c264ce0,15,"NumberPrototypeToExponential"
code-creation,Builtin,5,4718,0x20a55c264d60,15,"NumberPrototypeToFixed"
code-creation,Builtin,5,4719,0x20a55c264de0,15,"NumberPrototypeToPrecision"
code-creation,Builtin,5,4719,0x20a55c264e60,15,"NumberPrototypeToString"
code-creation,Builtin,5,4720,0x20a55c264ee0,127,"NumberPrototypeValueOf"
